word,IPA
චෂකාකාර,ʧ ʌ ʂ ʌ k aː k aː r ə
චහ්,ʧ ʌ h
චාක්‍රකෘන්තනය,ʧ aː k ‍ r ʌ k ʌ ෘ n̪ t̪ ʌ n̪ ʌ j ə
චාටකයා,ʧ aː ʈ ʌ k ʌ j
චාටුකාරයා,ʧ aː ʈ u k aː r ʌ j
චාටුකාර,ʧ aː ʈ u k aː r ə
චාටුව,ʧ aː ʈ u ʋ ə
චාටු,ʧ aː ʈ u
චාතුර්ථික,ʧ aː t̪ u r t̪ʰ i k ə
චාන්සලර්,ʧ aː n̪ s ʌ l ʌ r
චාන්,ʧ aː n̪
චාපනය,ʧ aː p ʌ n̪ ʌ j ə
චාපය,ʧ aː p ʌ j ə
චාම්කම,ʧ aː m k ʌ m ə
චාම්,ʧ aː m
චාර්ත්‍රානුකූල,ʧ aː r t̪ ‍ r aː n̪ u k uː l ə
චාර්වක,ʧ aː r ʋ ʌ k ə
චාරිකාව,ʧ aː r i k aː ʋ ə
චාරිකා,ʧ aː r i k
චාරිත්‍රය,ʧ aː r i t̪ ‍ r ʌ j ə
චාරිත්‍රවිධිය,ʧ aː r i t̪ ‍ r ʌ ʋ i d̪ʱ i j ə
චාරිත්‍රානුකූල,ʧ aː r i t̪ ‍ r aː n̪ u k uː l ə
චාරිත්‍ර,ʧ aː r i t̪ ‍ r ə
චාරුත්වය,ʧ aː r u t̪ ʋ ʌ j ə
චාරුමත්,ʧ aː r u m ʌ t̪
චාරුලේඛන,ʧ aː r u l eː kʰ ʌ n̪ ə
චාලකය,ʧ aː l ʌ k ʌ j ə
චාලක,ʧ aː l ʌ k ə
චැසිය,ʧ æ s i j ə
චිකිත්සකයා,ʧ i k i t̪ s ʌ k ʌ j
චිකිත්සය,ʧ i k i t̪ s ʌ j ə
චිකිත්සාගාරය,ʧ i k i t̪ s aː ɡ aː r ʌ j ə
චිකිත්සාව,ʧ i k i t̪ s aː ʋ ə
චිකිත්සීය,ʧ i k i t̪ s iː j ə
චිතකය,ʧ i t̪ ʌ k ʌ j ə
චිතණ්ඩවාදී,ʧ i t̪ ʌ ɳ ɖ ʌ ʋ a d̪ iː
චිත්තවිභාගය,ʧ i t̪ t̪ ʌ ʋ i bʱ aː ɡ ʌ j ə
චිත්තවේගාත්මක,ʧ i t̪ t̪ ʌ ʋ eː ɡ aː t̪ m ʌ k ə
චිත්තවේගී,ʧ i t̪ t̪ ʌ ʋ eː ɡ iː
චිත්තාකර්ෂණීය,ʧ i t̪ t̪ aː k ʌ r ʂ ʌ ɳ iː j ə
චිත්ත,ʧ i t̪ t̪ ə
චිත්‍රකතාව,ʧ i t̪ ‍ r ʌ k ʌ t̪ aː ʋ ə
චිත්‍රකතා,ʧ i t̪ ‍ r ʌ k ʌ t̪
චිත්‍රක,ʧ i t̪ ‍ r ʌ k ə
චිත්‍රණ,ʧ i t̪ ‍ r ʌ ɳ ə
චිත්‍රපටය,ʧ i t̪ ‍ r ʌ p ʌ ʈ ʌ j ə
චිත්‍රපටිය,ʧ i t̪ ‍ r ʌ p ʌ ʈ i j ə
චිත්‍රය,ʧ i t̪ ‍ r ʌ j ə
චිත්‍රාක්ෂරය,ʧ i t̪ ‍ r aː k ʂ ʌ r ʌ j ə
චිත්‍රාකාර,ʧ i t̪ ‍ r aː k aː r ə
චිත්‍රාගාරය,ʧ i t̪ ‍ r aː ɡ aː r ʌ j ə
චිත්‍රාත්මක,ʧ i t̪ ‍ r aː t̪ m ʌ k ə
චිත්‍රාධාරය,ʧ i t̪ ‍ r aː d̪ʱ aː r ʌ j ə
චිත්‍රාභිනය,ʧ i t̪ ‍ r aː bʱ i n̪ ʌ j ə
චිත්‍ර,ʧ i t̪ ‍ r ə
චින්තකයා,ʧ i n̪ t̪ ʌ k ʌ j
චින්තනය,ʧ i n̪ t̪ ʌ n̪ ʌ j ə
චින්තාපර,ʧ i n̪ t̪ aː p ʌ r ə
චිම්පන්සියා,ʧ i m p ʌ n̪ s i j
චිරන්තන,ʧ i r ʌ n̪ t̪ ʌ n̪ ə
චිරස්ථායී,ʧ i r ʌ s t̪ʰ aː j iː
චිරස්ථිතිය,ʧ i r ʌ s t̪ʰ i t̪ i j ə
චිරස්ථිත,ʧ i r ʌ s t̪ʰ i t̪ ə
චිරාගත,ʧ i r aː ɡ ʌ t̪ ə
චිරාත්කාලීන,ʧ i r aː t̪ k aː l iː n̪ ə
චීටා,ʧ iː ʈ
චීත්තය,ʧ iː t̪ t̪ ʌ j ə
චීනච්චට්ටි,ʧ iː n̪ ʌ ʧ ʧ ʌ ʈ ʈ i
චීනපටස්,ʧ iː n̪ ʌ p ʌ ʈ ʌ s
චීනය,ʧ iː n̪ ʌ j ə
චීනා,ʧ iː n̪
චීරභාවය,ʧ iː r ʌ bʱ aː ʋ ʌ j ə
චීවරය,ʧ iː ʋ ʌ r ʌ j ə
චීස්,ʧ iː s
චුචුකාකාර,ʧ u ʧ u k aː k aː r ə
චුතවීම,ʧ u t̪ ʌ ʋ iː m ə
චුත,ʧ u t̪ ə
චුම්බකත්වය,ʧ u m b ʌ k ʌ t̪ ʋ ʌ j ə
චුම්බකනය,ʧ u m b ʌ k ʌ n̪ ʌ j ə
චුම්බකමානය,ʧ u m b ʌ k ʌ m aː n̪ ʌ j ə
චුම්බකය,ʧ u m b ʌ k ʌ j ə
චුම්බකලේඛය,ʧ u m b ʌ k ʌ l eː kʰ ʌ j ə
චුම්බක,ʧ u m b ʌ k ə
චුම්භකත්‍ය,ʧ u m bʱ ʌ k ʌ t̪ ‍ j ə
චුම්භකය,ʧ u m bʱ ʌ k ʌ j ə
චුර්ණය,ʧ u r ɳ ʌ j ə
චුර්ණීකරණය,ʧ u r ɳ iː k ʌ r ʌ ɳ ʌ j ə
චුර්ණීකෘත,ʧ u r ɳ iː k ʌ ෘ t̪ ə
චුල,ʧ u l ə
චූටි,ʧ uː ʈ i
චූදිතයා,ʧ uː d̪ i t̪ ʌ j
චූර්ණහරණය,ʧ uː r ɳ ʌ h ʌ r ʌ ɳ ʌ j ə
චූර්ණිභවනය,ʧ uː r ɳ i bʱ ʌ ʋ ʌ n̪ ʌ j ə
චූෂකය,ʧ uː ʂ ʌ k ʌ j ə
චූෂණය,ʧ uː ʂ ʌ ɳ ʌ j ə
චෙක්පත්,ʧ e k p ʌ t̪
චෙක්පත,ʧ e k p ʌ t̪ ə
චෙලෝව,ʧ e l oː ʋ ə
චේතනාත්මක,ʧ eː t̪ ʌ n̪ aː t̪ m ʌ k ə
චේතනාව,ʧ eː t̪ ʌ n̪ aː ʋ ə
චේතනීය,ʧ eː t̪ ʌ n̪ iː j ə
චේතන,ʧ eː t̪ ʌ n̪ ə
චෛකිත්සීය,ʧ ʌ ෛ k i t̪ s iː j ə
චෛතන්‍යය,ʧ ʌ ෛ t̪ ʌ n̪ ‍ j ʌ j ə
චෛතසික,ʧ ʌ ෛ t̪ ʌ s i k ə
චෛත්‍යය,ʧ ʌ ෛ t̪ ‍ j ʌ j ə
චොකලට්,ʧ o k ʌ l ʌ ʈ
චොප්ස්ටික්,ʧ o p s ʈ i k
චෝදකයා,ʧ oː d̪ ʌ k ʌ j
චෝදක,ʧ oː d̪ ʌ k ə
චෝදනාංකය,ʧ oː d̪ ʌ n̪ aː k ʌ j ə
චෝදනාත්මක,ʧ oː d̪ ʌ n̪ aː t̪ m ʌ k ə
චෝදනාව,ʧ oː d̪ ʌ n̪ aː ʋ ə
චෝදිතයා,ʧ oː d̪ i t̪ ʌ j
චෝලය,ʧ oː l ʌ j ə
චෝලිය,ʧ oː l i j ə
චෞරාඛ්‍යානය,ʧ au r aː kʰ ‍ j aː n̪ ʌ j ə
චෞරෝන්මාදය,ʧ au r oː n̪ m aː d̪ ʌ j ə
ඡත්‍රය,ʧʰ ʌ t̪ ‍ r ʌ j ə
ඡත්‍රාකාර,ʧʰ ʌ t̪ ‍ r aː k aː r ə
ඡදන,ʧʰ ʌ d̪ ʌ n̪ ə
ඡන්දදායකයා,ʧʰ ʌ n̪ d̪ ʌ d̪ aː j ʌ k ʌ j
ඡන්දය,ʧʰ ʌ n̪ d̪ ʌ j ə
ඡන්දවිද්‍යාව,ʧʰ ʌ n̪ d̪ ʌ ʋ i d̪ ‍ j aː ʋ ə
ඡන්දවේදය,ʧʰ ʌ n̪ d̪ ʌ ʋ eː d̪ ʌ j ə
ඡන්දස්ත,ʧʰ ʌ n̪ d̪ ʌ s t̪ ə
ඡන්දස්,ʧʰ ʌ n̪ d̪ ʌ s
ඡන්දස,ʧʰ ʌ n̪ d̪ ʌ s ə
ඡන්ද,ʧʰ ʌ n̪ d̪ ə
ඡලකචාරය,ʧʰ ʌ l ʌ k ʌ ʧ aː r ʌ j ə
ඡාපිකාව,ʧʰ aː p i k aː ʋ ə
ඡායාකාන්ත,ʧʰ aː j aː k aː n̪ t̪ ə
ඡායාච්ඡාදනය,ʧʰ aː j aː ʧ ʧʰ aː d̪ ʌ n̪ ʌ j ə
ඡායාරූපය,ʧʰ aː j aː r uː p ʌ j ə
ඡායාරූපී,ʧʰ aː j aː r uː p iː
ඡායාරූප,ʧʰ aː j aː r uː p ə
ඡායාව,ʧʰ aː j aː ʋ ə
ඡායාස්ථිතික,ʧʰ aː j aː s t̪ʰ i t̪ i k ə
ඡායා,ʧʰ aː j
ඡිද්‍රය,ʧʰ i d̪ ‍ r ʌ j ə
ඡින්නකය,ʧʰ i n̪ n̪ ʌ k ʌ j ə
ඡේදකය,ʧʰ eː d̪ ʌ k ʌ j ə
ඡේදනය,ʧʰ eː d̪ ʌ n̪ ʌ j ə
ඡේදය,ʧʰ eː d̪ ʌ j ə
ඡේදාත්මක,ʧʰ eː d̪ aː t̪ m ʌ k ə
ජංගමක,ʤ ʌ ɡ ʌ m ʌ k ə
ජංගමය,ʤ ʌ ɡ ʌ m ʌ j ə
ජංගම,ʤ ʌ ɡ ʌ m ə
ජංඝකය,ʤ ʌ ɡʱ ʌ k ʌ j ə
ජංඝාත්‍රාණය,ʤ ʌ ɡʱ aː t̪ ‍ r aː ɳ ʌ j ə
ජංජාලය,ʤ ʌ ʤ aː l ʌ j ə
ජඉවසනවා,ʤ i ʋ ʌ s ʌ n̪ ə ʋ a
ජගත්,ʤ ʌ ɡ ʌ t̪
ජගතා,ʤ ʌ ɡ ʌ t̪
ජගද්විෂයී,ʤ ʌ ɡ ʌ d̪ ʋ i ʂ ʌ j iː
ජග්ගුව,ʤ ʌ ɡ ɡ u ʋ ə
ජගුවරා,ʤ ʌ ɡ u ʋ ʌ r
ජඝනය,ʤ ʌ ɡʱ ʌ n̪ ʌ j ə
ජඝන,ʤ ʌ ɡʱ ʌ n̪ ə
ජටාව,ʤ ʌ ʈ aː ʋ ə
ජටිත,ʤ ʌ ʈ i t̪ ə
ජඨරදාහය,ʤ ʌ ʈʰ ʌ r ʌ d̪ aː h ʌ j ə
ජඨර,ʤ ʌ ʈʰ ʌ r ə
ජඩයා,ʤ ʌ ɖ ʌ j
ජඩ,ʤ ʌ ɖ ə
ජතිය,ʤ ʌ t̪ i j ə
ජනකයෝ,ʤ ʌ n̪ ʌ k ʌ j oː
ජනකය,ʤ ʌ n̪ ʌ k ʌ j ə
ජනක,ʤ ʌ n̪ ʌ k ə
ජනගහණය,ʤ ʌ n̪ ʌ ɡ ʌ h ʌ ɳ ʌ j ə
ජනගහනය,ʤ ʌ n̪ ʌ ɡ ʌ h ʌ n̪ ʌ j ə
ජනඝාතය,ʤ ʌ n̪ ʌ ɡʱ aː t̪ ʌ j ə
ජනතවාදී,ʤ ʌ n̪ ʌ t̪ ʌ ʋ a d̪ iː
ජනතාවාදය,ʤ ʌ n̪ ʌ t̪ aː ʋ a d̪ ʌ j ə
ජනතාවාදී,ʤ ʌ n̪ ʌ t̪ aː ʋ a d̪ iː
ජනතාව,ʤ ʌ n̪ ʌ t̪ aː ʋ ə
ජනත,ʤ ʌ n̪ ʌ t̪ ə
ජනනය,ʤ ʌ n̪ ʌ n̪ ʌ j ə
ජනනායකයා,ʤ ʌ n̪ ʌ n̪ aː j ʌ k ʌ j
ජනනේන්ද්‍රිය,ʤ ʌ n̪ ʌ n̪ eː n̪ d̪ ‍ r i j ə
ජනනේන්ද්‍රීය,ʤ ʌ n̪ ʌ n̪ eː n̪ d̪ ‍ r iː j ə
ජනන,ʤ ʌ n̪ ʌ n̪ ə
ජනපදය,ʤ ʌ n̪ ʌ p ʌ d̪ ʌ j ə
ජනපදිකයා,ʤ ʌ n̪ ʌ p ʌ d̪ i k ʌ j
ජනපද,ʤ ʌ n̪ ʌ p ʌ d̪ ə
ජනප්‍රවාදය,ʤ ʌ n̪ ʌ p ‍ r ʌ ʋ a d̪ ʌ j ə
ජනප්‍රසාදය,ʤ ʌ n̪ ʌ p ‍ r ʌ s aː d̪ ʌ j ə
ජනප්‍රියභාවය,ʤ ʌ n̪ ʌ p ‍ r i j ʌ bʱ aː ʋ ʌ j ə
ජනප්‍රිය,ʤ ʌ n̪ ʌ p ‍ r i j ə
ජනමතවිචාරය,ʤ ʌ n̪ ʌ m ʌ t̪ ʌ ʋ i ʧ aː r ʌ j ə
ජනයා,ʤ ʌ n̪ ʌ j
ජනරංජන,ʤ ʌ n̪ ʌ r ʌ ʤ ʌ n̪ ə
ජනරජය,ʤ ʌ n̪ ʌ r ʌ ʤ ʌ j ə
ජනරජ,ʤ ʌ n̪ ʌ r ʌ ʤ ə
ජනරාල්වරයා,ʤ ʌ n̪ ʌ r aː l ʋ ʌ r ʌ j
ජනරාවය,ʤ ʌ n̪ ʌ r aː ʋ ʌ j ə
ජනලය,ʤ ʌ n̪ ʌ l ʌ j ə
ජනවර්ගත්වය,ʤ ʌ n̪ ʌ ʋ ʌ r ɡ ʌ t̪ ʋ ʌ j ə
ජනවර්ග,ʤ ʌ n̪ ʌ ʋ ʌ r ɡ ə
ජනවාර්ගික,ʤ ʌ n̪ ə ʋ a r ɡ i k ə
ජනශ්‍රැතිය,ʤ ʌ n̪ ʌ ʃ ‍ r æ t̪ i j ə
ජනශුන්‍ය,ʤ ʌ n̪ ʌ ʃ u n̪ ‍ j ə
ජනශූන්‍ය,ʤ ʌ n̪ ʌ ʃ uː n̪ ‍ j ə
ජනසම්මතභාවය,ʤ ʌ n̪ ʌ s ʌ m m ʌ t̪ ʌ bʱ aː ʋ ʌ j ə
ජනසම්මත,ʤ ʌ n̪ ʌ s ʌ m m ʌ t̪ ə
ජනසමූහය,ʤ ʌ n̪ ʌ s ʌ m uː h ʌ j ə
ජනහමුව,ʤ ʌ n̪ ʌ h ʌ m u ʋ ə
ජනහිතකාමය,ʤ ʌ n̪ ʌ h i t̪ ʌ k aː m ʌ j ə
ජනහිතවාදියා,ʤ ʌ n̪ ʌ h i t̪ ʌ ʋ a d̪ i j
ජන්මභූමිය,ʤ ʌ n̪ m ʌ bʱ uː m i j ə
ජන්මය,ʤ ʌ n̪ m ʌ j ə
ජන්මාණුක,ʤ ʌ n̪ m aː ɳ u k ə
ජන්මාණුව,ʤ ʌ n̪ m aː ɳ u ʋ ə
ජන්මාණුශාකය,ʤ ʌ n̪ m aː ɳ u ʃ aː k ʌ j ə
ජන්මීය,ʤ ʌ n̪ m iː j ə
ජන්ම,ʤ ʌ n̪ m ə
ජනාකීර්ණ,ʤ ʌ n̪ aː k iː r ɳ ə
ජනාචාර,ʤ ʌ n̪ aː ʧ aː r ə
ජනාධිපතිකම,ʤ ʌ n̪ aː d̪ʱ i p ʌ t̪ i k ʌ m ə
ජනාධිපති,ʤ ʌ n̪ aː d̪ʱ i p ʌ t̪ i
ජනිතෘ,ʤ ʌ n̪ i t̪ ʌ ෘ
ජනිත,ʤ ʌ n̪ i t̪ ə
ජනුව,ʤ ʌ n̪ u ʋ ə
ජනේලය,ʤ ʌ n̪ eː l ʌ j ə
ජන,ʤ ʌ n̪ ə
ජපමාලය,ʤ ʌ p ʌ m aː l ʌ j ə
ජපානය,ʤ ʌ p aː n̪ ʌ j ə
ජබොරන්ඩ්,ʤ ʌ b o r ʌ n̪ ɖ
ජමනාරං,ʤ ʌ m ʌ n̪ aː r ʌ
ජමනාරන්,ʤ ʌ m ʌ n̪ aː r ʌ n̪
ජම්බල,ʤ ʌ m b ʌ l ə
ජම්බාරය,ʤ ʌ m b aː r ʌ j ə
ජම්බු,ʤ ʌ m b u
ජම්බෝරිය,ʤ ʌ m b oː r i j ə
ජම්බෝල,ʤ ʌ m b oː l ə
ජඹුර,ʤ ʌ ඹ u r ə
ජයකොන්නය,ʤ ʌ j ʌ k o n̪ n̪ ʌ j ə
ජයගත්,ʤ ʌ j ʌ ɡ ʌ t̪
ජයගන්නවා,ʤ ʌ j ʌ ɡ ʌ n̪ n̪ ə ʋ a
ජයගන්නා,ʤ ʌ j ʌ ɡ ʌ n̪ n̪
ජයග්‍රහණය,ʤ ʌ j ʌ ɡ ‍ r ʌ h ʌ ɳ ʌ j ə
ජයග්‍රාහකයා,ʤ ʌ j ʌ ɡ ‍ r aː h ʌ k ʌ j
ජයග්‍රාහී,ʤ ʌ j ʌ ɡ ‍ r aː h iː
ජයන්තිය,ʤ ʌ j ʌ n̪ t̪ i j ə
ජයපත්‍රය,ʤ ʌ j ʌ p ʌ t̪ ‍ r ʌ j ə
ජයපාල,ʤ ʌ j ʌ p aː l ə
ජයලත්,ʤ ʌ j ʌ l ʌ t̪
ජයස්මාරකය,ʤ ʌ j ʌ s m aː r ʌ k ʌ j ə
ජයසෝෂාව,ʤ ʌ j ʌ s oː ʂ aː ʋ ə
ජය,ʤ ʌ j ə
ජරඨය,ʤ ʌ r ʌ ʈʰ ʌ j ə
ජරමරය,ʤ ʌ r ʌ m ʌ r ʌ j ə
ජර්කින්,ʤ ʌ r k i n̪
ජර්නලය,ʤ ʌ r n̪ ʌ l ʌ j ə
ජර්නිමන්,ʤ ʌ r n̪ i m ʌ n̪
ජර්සිය,ʤ ʌ r s i j ə
ජරාජීර්ණ,ʤ ʌ r aː ʤ iː r ɳ ə
ජරාතන්ත්‍රය,ʤ ʌ r aː t̪ ʌ n̪ t̪ ‍ r ʌ j ə
ජරාවාසය,ʤ ʌ r aː ʋ a s ʌ j ə
ජරාවාස,ʤ ʌ r aː ʋ a s ə
ජරාවේදය,ʤ ʌ r aː ʋ eː d̪ ʌ j ə
ජරාව,ʤ ʌ r aː ʋ ə
ජරා,ʤ ʌ r
ජලකපාලය,ʤ ʌ l ʌ k ʌ p aː l ʌ j ə
ජලක්ෂේපය,ʤ ʌ l ʌ k ʂ eː p ʌ j ə
ජලකාමී,ʤ ʌ l ʌ k aː m iː
ජලගැල්ම,ʤ ʌ l ʌ ɡ æ l m ə
ජලගෝලය,ʤ ʌ l ʌ ɡ oː l ʌ j ə
ජලඝටිකාව,ʤ ʌ l ʌ ɡʱ ʌ ʈ i k aː ʋ ə
ජලචර,ʤ ʌ l ʌ ʧ ʌ r ə
ජලජ,ʤ ʌ l ʌ ʤ ə
ජලත්‍යාගී,ʤ ʌ l ʌ t̪ ‍ j aː ɡ iː
ජලධරය,ʤ ʌ l ʌ d̪ʱ ʌ r ʌ j ə
ජලධාරකය,ʤ ʌ l ʌ d̪ʱ aː r ʌ k ʌ j ə
ජලනිධිය,ʤ ʌ l ʌ n̪ i d̪ʱ i j ə
ජලපින්,ʤ ʌ l ʌ p i n̪
ජලපේනය,ʤ ʌ l ʌ p eː n̪ ʌ j ə
ජලභීතිකාව,ʤ ʌ l ʌ bʱ iː t̪ i k aː ʋ ə
ජලභීතික,ʤ ʌ l ʌ bʱ iː t̪ i k ə
ජලමය,ʤ ʌ l ʌ m ʌ j ə
ජලමාන,ʤ ʌ l ʌ m aː n̪ ə
ජලමිතිය,ʤ ʌ l ʌ m i t̪ i j ə
ජලය,ʤ ʌ l ʌ j ə
ජලරෝදය,ʤ ʌ l ʌ r oː d̪ ʌ j ə
ජලවහනය,ʤ ʌ l ʌ ʋ ʌ h ʌ n̪ ʌ j ə
ජලවිච්ඡේද්‍යය,ʤ ʌ l ʌ ʋ i ʧ ʧʰ eː d̪ ‍ j ʌ j ə
ජලවිච්ඡේද්‍ය,ʤ ʌ l ʌ ʋ i ʧ ʧʰ eː d̪ ‍ j ə
ජලවිද්‍යාව,ʤ ʌ l ʌ ʋ i d̪ ‍ j aː ʋ ə
ජලසේදකය,ʤ ʌ l ʌ s eː d̪ ʌ k ʌ j ə
ජල්ලිය,ʤ ʌ l l i j ə
ජල්ලි,ʤ ʌ l l i
ජලාකර්ෂක,ʤ ʌ l aː k ʌ r ʂ ʌ k ə
ජලාකාර,ʤ ʌ l aː k aː r ə
ජලාපවහනය,ʤ ʌ l aː p ʌ ʋ ʌ h ʌ n̪ ʌ j ə
ජලාබුජ,ʤ ʌ l aː b u ʤ ə
ජලාවර්තනය,ʤ ʌ l aː ʋ ʌ r t̪ ʌ n̪ ʌ j ə
ජලාවර්තී,ʤ ʌ l aː ʋ ʌ r t̪ iː
ජලාශය,ʤ ʌ l aː ʃ ʌ j ə
ජලාශ්‍රිත,ʤ ʌ l aː ʃ ‍ r i t̪ ə
ජලාශ,ʤ ʌ l aː ʃ ə
ජලීය,ʤ ʌ l iː j ə
ජලෝඝය,ʤ ʌ l oː ɡʱ ʌ j ə
ජවනිකාව,ʤ ʌ ʋ ʌ n̪ i k aː ʋ ə
ජවමූලික,ʤ ʌ ʋ ʌ m uː l i k ə
ජවය,ʤ ʌ ʋ ʌ j ə
ජවසම්පන්න,ʤ ʌ ʋ ʌ s ʌ m p ʌ n̪ n̪ ə
ජවසරඹහල,ʤ ʌ ʋ ʌ s ʌ r ʌ ඹ h ʌ l ə
ජවාධික,ʤ ʌ ʋ a d̪ʱ i k ə
ජ්වරනාශකය,ʤ ʋ ʌ r ʌ n̪ aː ʃ ʌ k ʌ j ə
ජ්වරහාරකය,ʤ ʋ ʌ r ʌ h aː r ʌ k ʌ j ə
ජ්වලනාංකය,ʤ ʋ ʌ l ʌ n̪ aː k ʌ j ə
ජ්වලන,ʤ ʋ ʌ l ʌ n̪ ə
ජ්වලිත,ʤ ʋ ʌ l i t̪ ə
ජ්‍යාමිතික,ʤ ‍ j aː m i t̪ i k ə
ජ්‍යාමිතිය,ʤ ‍ j aː m i t̪ i j ə
ජ්‍යාය,ʤ ‍ j aː j ə
ජ්‍යාහණනය,ʤ ‍ j aː h ʌ ɳ ʌ n̪ ʌ j ə
ජ්‍යෙෂ්ඨත්වය,ʤ ‍ j e ʂ ʈʰ ʌ t̪ ʋ ʌ j ə
ජ්‍යෙෂ්ඨතාව,ʤ ‍ j e ʂ ʈʰ ʌ t̪ aː ʋ ə
ජ්‍යෙෂ්ඨයා,ʤ ‍ j e ʂ ʈʰ ʌ j
ජ්‍යෙෂ්ඨ,ʤ ‍ j e ʂ ʈʰ ə
ජ්‍යෝතිෂය,ʤ ‍ j oː t̪ i ʂ ʌ j ə
ජාංගුලය,ʤ aː ɡ u l ʌ j ə
ජාගෘතිය,ʤ aː ɡ ʌ ෘ t̪ i j ə
ජාත්‍යන්තරකරණය,ʤ aː t̪ ‍ j ʌ n̪ t̪ ʌ r ʌ k ʌ r ʌ ɳ ʌ j ə
ජාත්‍යන්තරවාදය,ʤ aː t̪ ‍ j ʌ n̪ t̪ ʌ r ʌ ʋ a d̪ ʌ j ə
ජාත්‍යන්තර,ʤ aː t̪ ‍ j ʌ n̪ t̪ ʌ r ə
ජාත්‍යාලය,ʤ aː t̪ ‍ j aː l ʌ j ə
ජාතිකත්වය,ʤ aː t̪ i k ʌ t̪ ʋ ʌ j ə
ජාතිකයා,ʤ aː t̪ i k ʌ j
ජාතිකෝන්මාද,ʤ aː t̪ i k oː n̪ m aː d̪ ə
ජාතික,ʤ aː t̪ i k ə
ජාතිගත,ʤ aː t̪ i ɡ ʌ t̪ ə
ජාතිද්‍රෝහියා,ʤ aː t̪ i d̪ ‍ r oː h i j
ජාතිද්‍රෝහි,ʤ aː t̪ i d̪ ‍ r oː h i
ජාතිද්‍රෝහී,ʤ aː t̪ i d̪ ‍ r oː h iː
ජාතිභ්‍රෂ්ට,ʤ aː t̪ i bʱ ‍ r ʌ ʂ ʈ ə
ජාතිය,ʤ aː t̪ i j ə
ජාතිලක්ෂණය,ʤ aː t̪ i l ʌ k ʂ ʌ ɳ ʌ j ə
ජාතිවාදය,ʤ aː t̪ i ʋ a d̪ ʌ j ə
ජාතිවාදී,ʤ aː t̪ i ʋ a d̪ iː
ජානය,ʤ aː n̪ ʌ j ə
ජානුරූපී,ʤ aː n̪ u r uː p iː
ජාන,ʤ aː n̪ ə
ජායාංගපාදී,ʤ aː j aː ɡ ʌ p aː d̪ iː
ජායාංගය,ʤ aː j aː ɡ ʌ j ə
ජායාංගී,ʤ aː j aː ɡ iː
ජායාමාන,ʤ aː j aː m aː n̪ ə
ජායා,ʤ aː j
ජාරාවාසය,ʤ aː r aː ʋ a s ʌ j ə
ජාලයෝගය,ʤ aː l ʌ j oː ɡ ʌ j ə
ජාලය,ʤ aː l ʌ j ə
ජාලාකාර,ʤ aː l aː k aː r ə
ජාලාව,ʤ aː l aː ʋ ə
ජාලිකාවත්,ʤ aː l i k aː ʋ ʌ t̪
ජාලිකාව,ʤ aː l i k aː ʋ ə
ජාලිතය,ʤ aː l i t̪ ʌ j ə
ජාවාරම්කරු,ʤ aː ʋ a r ʌ m k ʌ r u
ජාවාරම්කාරයා,ʤ aː ʋ a r ʌ m k aː r ʌ j
ජාවාරම,ʤ aː ʋ a r ʌ m ə
ජැකට්ටුව,ʤ æ k ʌ ʈ ʈ u ʋ ə
ජැක්කුව,ʤ æ k k u ʋ ə
ජැක්පොට්,ʤ æ k p o ʈ
ජැටිය,ʤ æ ʈ i j ə
ජැන්ඩිය,ʤ æ n̪ ɖ i j ə
ජෑම්,ʤ æː m
ජෑස්,ʤ æː s
ජින්,ʤ i n̪
ජිම්බල,ʤ i m b ʌ l ə
ජිරකය,ʤ i r ʌ k ʌ j ə
ජිලියනය,ʤ i l i j ʌ n̪ ʌ j ə
ජිහාඩ්,ʤ i h aː ɖ
ජීන්ස්,ʤ iː n̪ s
ජීප්සම්,ʤ iː p s ʌ m
ජීරක,ʤ iː r ʌ k ə
ජීරණය,ʤ iː r ʌ ɳ ʌ j ə
ජීරනය,ʤ iː r ʌ n̪ ʌ j ə
ජීර්ණක,ʤ iː r ɳ ʌ k ə
ජීර්ණවීම,ʤ iː r ɳ ʌ ʋ iː m ə
ජීර්ණ,ʤ iː r ɳ ə
ජීවජාරක,ʤ iː ʋ ʌ ʤ aː r ʌ k ə
ජීවදර්ශය,ʤ iː ʋ ʌ d̪ ʌ r ʃ ʌ j ə
ජීවනය,ʤ iː ʋ ʌ n̪ ʌ j ə
ජීවනෝපාය,ʤ iː ʋ ʌ n̪ oː p aː j ə
ජීවමාන,ʤ iː ʋ ʌ m aː n̪ ə
ජීවමිතික,ʤ iː ʋ ʌ m i t̪ i k ə
ජීවමිතිය,ʤ iː ʋ ʌ m i t̪ i j ə
ජීවයෝග්‍ය,ʤ iː ʋ ʌ j oː ɡ ‍ j ə
ජීවය,ʤ iː ʋ ʌ j ə
ජීවරසායනික,ʤ iː ʋ ʌ r ʌ s aː j ʌ n̪ i k ə
ජීව්‍යතාව,ʤ iː ʋ ‍ j ʌ t̪ aː ʋ ə
ජීව්‍ය,ʤ iː ʋ ‍ j ə
ජීවාංගයා,ʤ iː ʋ a ɡ ʌ j
ජීවාජ්ජනක,ʤ iː ʋ a ʤ ʤ ʌ n̪ ʌ k ə
ජීවාජ්ජනනය,ʤ iː ʋ a ʤ ʤ ʌ n̪ ʌ n̪ ʌ j ə
ජීවාණුව,ʤ iː ʋ a ɳ u ʋ ə
ජීවිකාව,ʤ iː ʋ i k aː ʋ ə
